States,Symptom,Effect,Solution
Delhi,"Increased thirst, dry mouth, reduced urine output",Dehydration,Drink plenty of water and electrolyte-rich fluids.
Delhi," Rapid heart rate, chest pain, shortness of breath",Heat-related Heart Problems,Seek immediate medical attention.
Delhi,"Fatigue, weakness, reduced physical performance",Exercise Fatigue in Heat,"Rest in a cool, shaded area and hydrate."
Delhi,"Dry, sticky mouth, dark-colored urine", Severe Dehydration,Seek medical attention for intravenous fluid replacement.
Delhi,"Hot, flushed skin, high body temperature",Heat Exhaustion Progressing to Heat Stroke,Move to a cooler environment and apply cool compresses while awaiting medical help.
Delhi,"Cramps, twitching muscles, tingling sensations",Electrolyte Imbalance,"Consume electrolyte-rich foods and beverages, and consider oral rehydration solutions."
Delhi,"Irritability, confusion, hallucinations",Heat-related Psychiatric Symptoms,Seek medical help for evaluation and management.
Delhi,"Weakness, unsteadiness, loss of balance",Heat-related Neuromuscular Symptoms,"Rest in a cool, shaded area and hydrate."
Delhi,"Flushed face, headache, dizziness",Heat-induced Migraine,"Apply cold compresses to the head and neck, and rest in a cool,dark room."
Delhi,"Nausea, vomiting, diarrhoea",Gastrointestinal Disturbances due to Heat,"Rest, hydrate with clear fluids, and consume bland, easily digestible foods."
Delhi,"Irritation, discomfort,redness",red eyes,use of eye drops
Delhi,Low blood pressure,Weak pulse,Rest and hydrate
Delhi,Light-headedness,Fainiting,Lie down and elevate legs
Delhi,Trembling,Shivering,Warm up gradually
Rajasthan,"Irritation, discomfort,redness",red eyes,use of eye drops
Rajasthan,Low blood pressure,Weak pulse,Rest and hydrate
Rajasthan,Light-headedness,Fainiting,Lie down and elevate legs
Rajasthan,Trembling,Shivering,Warm up gradually
Rajasthan,"Increased thirst, dry mouth, reduced urine output",Dehydration,Drink plenty of water and electrolyte-rich fluids.
Rajasthan," Rapid heart rate, chest pain, shortness of breath",Heat-related Heart Problems,Seek immediate medical attention.
Rajasthan,"Fatigue, weakness, reduced physical performance",Exercise Fatigue in Heat,"Rest in a cool, shaded area and hydrate."
Rajasthan,"Dry, sticky mouth, dark-colored urine", Severe Dehydration,Seek medical attention for intravenous fluid replacement.
Rajasthan,"Hot, flushed skin, high body temperature",Heat Exhaustion Progressing to Heat Stroke,Move to a cooler environment and apply cool compresses while awaiting medical help.
Rajasthan,"Cramps, twitching muscles, tingling sensations",Electrolyte Imbalance,"Consume electrolyte-rich foods and beverages, and consider oral rehydration solutions."
Rajasthan,"Irritability, confusion, hallucinations",Heat-related Psychiatric Symptoms,Seek medical help for evaluation and management.
Rajasthan,"Weakness, unsteadiness, loss of balance",Heat-related Neuromuscular Symptoms,"Rest in a cool, shaded area and hydrate."
