FormattedDate,JAN-FEB,MAR-MAY,JUN-SEP,OCT-DEC,precipitation,PrepType,TemperaturePerYr,AvgTempUncertainty,Apparent Temperature (C),TempMax,tempMin,wind,Wind Speed (km/h),WindBearing (degrees),Visibility (km),weather,DailySummary
2006-04-01 00:00:00.000 +0200,23.27,31.46,31.27,27.25,0,rain,9.472222222,1.435,7.388888889,12.8,5,4.7,14.1197,251,15.8263,drizzle,Partly cloudy throughout the day.
2006-04-01 01:00:00.000 +0200,25.75,31.76,31.09,26.49,10.9,rain,9.355555556,1.362,7.227777778,10.6,2.8,4.5,14.2646,259,15.8263,rain,Partly cloudy throughout the day.
2006-04-01 02:00:00.000 +0200,24.24,30.71,30.92,26.26,0.8,rain,9.377777778,1.612,9.377777778,11.7,7.2,2.3,3.9284,204,14.9569,rain,Partly cloudy throughout the day.
2006-04-01 03:00:00.000 +0200,23.62,30.95,30.66,26.4,20.3,rain,8.288888889,1.387,5.944444444,12.2,5.6,4.7,14.1036,269,15.8263,rain,Partly cloudy throughout the day.
2006-04-01 04:00:00.000 +0200,22.25,30,31.33,26.57,1.3,rain,8.755555556,1.2,6.977777778,8.9,2.8,6.1,11.0446,259,15.8263,rain,Partly cloudy throughout the day.
2006-04-01 05:00:00.000 +0200,23.03,31.11,30.86,27.29,2.5,rain,9.222222222,1.402,7.111111111,4.4,2.2,2.2,13.9587,258,14.9569,rain,Partly cloudy throughout the day.
2006-04-01 06:00:00.000 +0200,24.23,29.92,30.8,27.36,0,rain,7.733333333,1.254,5.522222222,7.2,2.8,2.3,12.3648,259,9.982,rain,Partly cloudy throughout the day.
2006-04-01 07:00:00.000 +0200,24.42,31.43,30.72,26.64,0,rain,8.772222222,1.265,6.527777778,10,2.8,2,14.1519,260,9.982,sun,Partly cloudy throughout the day.
2006-04-01 08:00:00.000 +0200,23.52,31.02,30.33,26.88,4.3,rain,10.82222222,1.226,10.82222222,9.4,5,3.4,11.3183,259,9.982,rain,Partly cloudy throughout the day.
2006-04-01 09:00:00.000 +0200,24.2,31.14,30.48,26.2,1,rain,13.77222222,1.175,13.77222222,6.1,0.6,3.4,12.5258,279,9.982,rain,Partly cloudy throughout the day.
2006-04-01 10:00:00.000 +0200,23.9,30.7,31.14,26.31,0,rain,16.01666667,1.507,16.01666667,6.1,-1.1,5.1,17.5651,290,11.2056,sun,Partly cloudy throughout the day.
2006-04-01 11:00:00.000 +0200,24.88,31.1,31.15,26.57,0,rain,17.14444444,1.838,17.14444444,6.1,-1.7,1.9,19.7869,316,11.4471,sun,Partly cloudy throughout the day.
2006-04-01 12:00:00.000 +0200,24.25,30.89,30.92,26.42,0,rain,17.8,1.943,17.8,5,-2.8,1.3,21.9443,281,11.27,sun,Partly cloudy throughout the day.
2006-04-01 13:00:00.000 +0200,24.59,30.73,30.84,26.4,4.1,rain,17.33333333,1.43,17.33333333,4.4,0.6,5.3,20.6885,289,11.27,snow,Partly cloudy throughout the day.
2006-04-01 14:00:00.000 +0200,23.22,31.06,31.51,27.19,5.3,rain,18.87777778,2.173,18.87777778,1.1,-3.3,3.2,15.3755,262,11.4471,snow,Partly cloudy throughout the day.
2006-04-01 15:00:00.000 +0200,24.57,31.88,30.52,26.31,2.5,rain,18.91111111,1.662,18.91111111,1.7,-2.8,5,10.4006,288,11.27,snow,Partly cloudy throughout the day.
